ConsultationOrganizationId,ConsultationOrganizationName,CommonName,Country,Type,Website,Secteur,Operating revenue (Turnover) th USD 2014,estimated cost,nb lobbyists,Logo,Emission reduction target equal or above 40%,Exploitation of indigenous fossil energy,Renewable Energy target,Carbon tax
rsp317,SSE,SSE,UK,Companies & groups,http://sse.com,"Electricity, gas and water supply","47,029,050",54999,1,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/sse.jpeg,,,,
rsp334,Statkraft,Statkraft,Norway,Companies & groups,http://www.statkraft.com,"Electricity, gas and water supply","7,032,840",449999,"2,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/statkraft.png,,,,
rsp342,STATOIL,Statoil,Norway,Companies & groups,http://www.statoil.com,Mining and quarrying,"83,835,805",849999,3,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/statoil_asa.jpeg,,SUPPORTS,OPPOSES,
rsp309,ThyssenKrupp,ThyssenKrupp,Germany,Companies & groups,http://www.thyssenkrupp.com,Manufacturing,"52,311,309",649999,3,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/thyssenkrupp.jpg,,,,
rsp356,TOTAL,Total,France,Companies & groups,http://www.total.com,Mining and quarrying,"212,294,000",2624500,7,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/total.png,,,OPPOSES,
rsp352,Vattenfall AB,Vattenfall,Sweden,Companies & groups,http://corporate.vattenfall.com,"Electricity, gas and water supply","22,043,533",949999,3,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/vattenfall.png,,,,
rsp282,VELUX Group,VELUX Group,Denmark,Companies & groups,http://www.velux.com,Commerce and agriculture,,4999,"0,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/velux.gif,,,,
rsp280,VEOLIA ENVIRONNEMENT,Veolia Environnement,France,Companies & groups,http://www.veolia.com,"Electricity, gas and water supply","29,133,922",649999,"5,25",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/veolia_environement.jpeg,,,OPPOSES,
rsp345,VERBUND AG,Verbund,Austria,Companies & groups,http://www.verbund.com,"Electricity, gas and water supply","3,453,142",349999,"1,75",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/verbund.png,,,,
rsp276,VESTAS,Vestas Wind Systems,Denmark,Companies & groups,http://www.vestas.com,"Electricity, gas and water supply","8,480,493",17499,2,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/vestas.jpeg,SUPPORTS,,SUPPORTS,SUPPORTS
rsp266,Wienerberger AG,Wienerberger,Austria,Companies & groups,http://www.wienerberger.com,Manufacturing,"3,486,342",350000,"1,75",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/wienerberger.png,,,,
rsp5,World Wildlife Fund,WWF,Belgium,NGO and similar,http://wwf.org/,Public climate,,1124999,"12,75",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/wwf.png,,,,
