ID,Lobby ID,Nom,Abréviation,Pays/Région,Type,Secteurs d’activité,Dépenses Lobby (€),Personnes impliquées,Equivalent Temps plein,Réduction 40%,Efficacité énergétique,Gaz de schiste,Energies renouvelables
424,,Trade Union Pro,PRO,Finlande,Syndicat,Intérêts des salariés,NaN,NaN,NaN,,,,
425,358284014848-82,industriAll European Trade Union,industriAll European Trade Union,Europe,Syndicat,Intérêts des salariés,226000,14,9.0,,SUPPORT,,SUPPORT
426,77510791109-40,TUC,TUC,Royaume-Uni,Syndicat,Intérêts des salariés,4999,1,1.0,,,,
427,16178359495-57,Vereinte Dienstleistungsgewerkschaft,Ver.di,Allemagne,Syndicat,Intérêts des salariés,4999,5,4.0,,,,
428,88787562806-65,DFK - Die Führungkräfte,DFK,Allemagne,Syndicat,Intérêts privés,17499,2,0.5,,,,
429,23869471911-54,Bundesarbeitskammer Österreich,BAK,Autriche,Syndicat,Intérêts des salariés,449999,8,7.5,,,,
430,07595112423-87,Deutscher Gewerkschaftsbund (DGB),DGB,Allemagne,Syndicat,Intérêts des salariés,449999,11,9.0,,,,
432,01312486176-25,Scotland Europa,Scotland Europa,Royaume-Uni,Entité/autorité publique,Autres industries/intérêts,4999,9,9.0,,,,
438,11514322965-05,Energy Cities,Energy Cities,Europe,ONG,Énergie (principalement renouvelable),17499,5,1.75,,,,
448,999630923811-90,ICLEI,ICLEI,Europe,Entité/autorité publique,Intérêts public environnementaux,37499,5,1.25,SUPPORT,SUPPORT,OPPOSE,SUPPORT
450,203758911479-09,Policy exchange,Policy exchange,Royaume-Uni,Think tank et recherche,"Recherche scientifique, expertise",NaN,NaN,NaN,,,,
451,86853666704-95,CEPS,CEPS,Europe,Think tank et recherche,"Recherche scientifique, expertise",4999,52,49.5,,,,
452,101582711494-15,Climate Strategies,Climate Strategies,Royaume-Uni,ONG,"Recherche scientifique, expertise",4999,3,3.0,,,,
453,817234411078-80,Fundacja Polski Kongres Gospodarczy,Fundacja Polski Kongres Gospodarczy,Pologne,Think tank et recherche,Intérêts privés,NaN,NaN,NaN,,,,
454,119161911333-40,Fondazione Eni Enrico Mattei,FEEM,Italie,Think tank et recherche,"Recherche scientifique, expertise",4999,8,5.5,OPPOSE,OPPOSE,,OPPOSE
455,,Institute for Market Economics,IME,Bulgarie,Think tank et recherche,Finance,NaN,NaN,NaN,,,,
457,783139310998-68,Asociacion de Ambientologos de Madrid,AAM,Espagne,Association professionnelle,"Recherche scientifique, expertise",4999,300,75.0,,SUPPORT,,SUPPORT
458,06869148182-50,International Association of Public Transport,UITP,International,Association professionnelle,"Construction, immobilier, transports",749999,7,4.0,,,,
461,282178211569-81,Fachagentur Nachwachsende Rohstoffe e.V. – FNR (Agency for Renewable Resources),FNR,Allemagne,Entité/autorité publique,"Recherche scientifique, expertise",4999,19,18.5,,,,SUPPORT
462,744827611137-47,KUNGL. VETENSKAPSAKADEMIEN THE ROYAL SWEDISH ACADEMY OF SCIENCES,RSAS,Suède,ONG,"Recherche scientifique, expertise",4999,1,0.25,,,,
464,52774696782-43,Commissariat à l’Energie Atomique et aux Energies Alternatives,CEA,France,Think tank et recherche,Énergie,149999,50,50.0,,,,
465,133236011647-58,EASAC European Academies Science Advisory Council,EASAC,Europe,Think tank et recherche,"Recherche scientifique, expertise",249999,8,4.0,,,,
466,21280626733-05,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR) German Aerospace Center,DLR,Allemagne,Think tank et recherche,"Recherche scientifique, expertise",649999,55,27.5,,,,
468,65470797015-89,CEER - Council fo European Energy regulators,CEER,Europe,ONG,Énergie,949999,8,8.0,,,,
472,778759511497-23,ADENE – Agência para a Energia,ADENE,Portugal,Entité/autorité publique,Énergie,NaN,NaN,NaN,,,,
473,,German Advisory Council on the Environment (SRU),SRU,Allemagne,Think tank et recherche,"Recherche scientifique, expertise",NaN,NaN,NaN,,,,
475,98277414699-83,EU Umweltbüro,EUUB,Autriche,ONG,Intérêts public environnementaux,37499,3,1.5,,,,
476,5265780509-97,AmCham - American Chamber of Commerce to the EU,AmCham,États-Unis,Association professionnelle,Intérêts privés,1124999,25,8.5,,,SUPPORT,OPPOSE
477,20457441380-38,Bundesverband der Energie- und Wasserwirtschaft,BDEW,Allemagne,Association professionnelle,Énergie,2874999,24,13.75,,,,
478,150712220857-50,BORD NA MÓNA POWERGEN,BnM,Irlande,Entreprise,Énergie (principalement renouvelable),74999,5,1.75,,,,
479,73700969875-77,CDC Climat,CDC Climat,France,Consultance,"Recherche scientifique, expertise",NaN,NaN,NaN,,,,
480,04201463642-88,The European Committee of Domestic Equipment Manufacturers (CECED),CECED,Europe,Association professionnelle,Intérêts privés,449999,13,13.0,,,,
481,38305846546-70,COGEN Europe,COGEN,Europe,Association professionnelle,Énergie,449999,6,3.75,,,,
482,453515910702-95,Confederation of Paper Industries (UK),CPI,Royaume-Uni,Association professionnelle,Matériaux,4999,1,0.5,,,,
483,014218910510-57,"EEF, the manufacturers’ organisation/ UK Steel",EEF UK Steel,Royaume-Uni,Association professionnelle,Matériaux,649999,8,4.25,,,,
485,13083157825-94,International Gas Union,IGU,International,Association professionnelle,Énergie,37499,1,0.25,,,,
486,,Magyar Energetikai Társaság,MET,Hongrie,Association professionnelle,Énergie,NaN,NaN,NaN,,,,
487,430975111376-25,Associazione Verdi Ambiente e Società Onlus,VAS,Italie,ONG,Intérêts public environnementaux,4999,4,2.0,,,,
