source,Source Name,target,Target Name,Valeur (supp à%)
292,Yioula Glassworks,283,Drujba Glassworks S.A.,50
302,BASF,349,Wintershall,50
317,EDP - Energias de Portugal,416,REN,1
321,"Red Eléctrica de España, SAU",416,REN,1
325,Statkraft,324,ADGER ENERGY,10
325,Statkraft,329,BKK,10
327,EDF,348,AREVA,1
327,EDF,334,EDISON,50
327,EDF,326,EDF Energy,50
327,EDF,309,ERDF,50
328,Repsol,316,Gas Natural Fenosa,10
346,FORTUM,314,TVO,10
